   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   4.4152417e+01	  -4.2054905e+01	   1.7482900e+02	   3.9068145e+00	   4.1361954e-01	   1.6005190e+01	   3.4606159e+01	   7.8900000e-01	   5.4667641e+00	   1.7864849e+02	
   4.4153111e+01	  -4.2057334e+01	   1.7482900e+02	   2.8153478e+00	   2.8207660e-01	   1.5937636e+01	   3.4593225e+01	   8.0100558e-01	   5.4268530e+00	   1.7762214e+02	
   4.4153806e+01	  -4.2060310e+01	   1.7482900e+02	   2.6320769e+00	   2.4722467e-01	   1.5727601e+01	   3.4638996e+01	   8.4569776e-01	   5.4737814e+00	   1.7766204e+02	
   4.4154500e+01	  -4.2063286e+01	   1.7482900e+02	   2.6272028e+00	   3.0668643e-01	   1.5605735e+01	   3.4723160e+01	   9.0715402e-01	   5.5083647e+00	   1.7853597e+02	
   4.4155195e+01	  -4.2066263e+01	   1.7482900e+02	   2.8195061e+00	   3.0001169e-01	   1.5693880e+01	   3.4772104e+01	   1.0070180e+00	   5.1602464e+00	   1.7914479e+02	
   4.4155889e+01	  -4.2069239e+01	   1.7482900e+02	   2.8442929e+00	   2.9973063e-01	   1.5728806e+01	   3.4720084e+01	   1.1185162e+00	   5.1734039e+00	   1.7930968e+02	
   4.4156583e+01	  -4.2072417e+01	   1.7482900e+02	   3.1457810e+00	   3.0893857e-01	   1.5653855e+01	   3.4662788e+01	   1.2256260e+00	   5.2880767e+00	   1.7894681e+02	
   4.4157278e+01	  -4.2075080e+01	   1.7482954e+02	   3.0677853e+00	   3.5996967e-01	   1.5580000e+01	   3.4646587e+01	   1.2018403e+00	   5.2552359e+00	   1.7829296e+02	
   4.4157972e+01	  -4.2077596e+01	   1.7483000e+02	   2.3255176e+00	   2.6705526e-01	   1.5753949e+01	   3.4627363e+01	   1.0871053e+00	   5.3656455e+00	   1.7905855e+02	
   4.4158667e+01	  -4.2080572e+01	   1.7483000e+02	   2.6609029e+00	   2.6806047e-01	   1.5965166e+01	   3.4580786e+01	   1.0315547e+00	   5.5040577e+00	   1.7899978e+02	
   4.4159361e+01	  -4.2083548e+01	   1.7483000e+02	   3.6930201e+00	   3.8955548e-01	   1.6008194e+01	   3.4526484e+01	   9.2952219e-01	   5.6862548e+00	   1.7811294e+02	
   4.4160056e+01	  -4.2086524e+01	   1.7483000e+02	   2.8973081e+00	   3.0861138e-01	   1.5983756e+01	   3.4548866e+01	   8.9794787e-01	   5.5707343e+00	   1.7805489e+02	
   4.4160750e+01	  -4.2089501e+01	   1.7483000e+02	   3.7845333e+00	   3.8039800e-01	   1.5876962e+01	   3.4593509e+01	   9.6551674e-01	   5.3806793e+00	   1.7865012e+02	
   4.4161445e+01	  -4.2092477e+01	   1.7483000e+02	   3.6354235e+00	   3.4246904e-01	   1.5703775e+01	   3.4638152e+01	   9.9960049e-01	   5.4333364e+00	   1.7855618e+02	
   4.4162139e+01	  -4.2094969e+01	   1.7483000e+02	   4.0352363e+00	   4.8089756e-01	   1.5683932e+01	   3.4734619e+01	   1.0850234e+00	   5.4170281e+00	   1.7831952e+02	
   4.4162833e+01	  -4.2097429e+01	   1.7483000e+02	   4.9292104e+00	   5.7600364e-01	   1.5775820e+01	   3.4685326e+01	   1.1377423e+00	   5.4714939e+00	   1.7850000e+02	
   4.4163528e+01	  -4.2100405e+01	   1.7483000e+02	   7.0379319e+00	   6.8681486e-01	   1.5803874e+01	   3.4559522e+01	   1.1132969e+00	   5.0381610e+00	   1.7861712e+02	
   4.4164222e+01	  -4.2103382e+01	   1.7483000e+02	   6.2465483e+00	   6.5687451e-01	   1.5803237e+01	   3.4573237e+01	   1.0922634e+00	   5.0582417e+00	   1.7865790e+02	
   4.4164917e+01	  -4.2106358e+01	   1.7483000e+02	   7.9589814e+00	   7.0542268e-01	   1.5842543e+01	   3.4585841e+01	   1.0091077e+00	   5.7607261e+00	   1.7859526e+02	
   4.4165611e+01	  -4.2109334e+01	   1.7483000e+02	   5.2576867e+00	   4.7850774e-01	   1.5967812e+01	   3.4609447e+01	   9.5498884e-01	   5.8698543e+00	   1.7818312e+02	
   4.4166306e+01	  -4.2112310e+01	   1.7483000e+02	   4.8874788e+00	   4.6788417e-01	   1.6059127e+01	   3.4587050e+01	   8.4770150e-01	   5.8756209e+00	   1.7825507e+02	
   4.4167000e+01	  -4.2114858e+01	   1.7483000e+02	   5.1216187e+00	   4.7185284e-01	   1.6069148e+01	   3.4579728e+01	   7.0726608e-01	   5.5266532e+00	   1.7922863e+02	
   4.4167695e+01	  -4.2117263e+01	   1.7483042e+02	   4.2675636e+00	   3.8013282e-01	   1.6107567e+01	   3.4650405e+01	   6.4710822e-01	   5.0619125e+00	   1.7878978e+02	
   4.4168389e+01	  -4.2120239e+01	   1.7483100e+02	   4.3085801e+00	   3.6360920e-01	   1.6172207e+01	   3.4677658e+01	   6.1092245e-01	   5.5273456e+00	   1.7887904e+02	
   4.4169083e+01	  -4.2123417e+01	   1.7483100e+02	   4.0685143e+00	   3.5967560e-01	   1.6267136e+01	   3.4664812e+01	   5.3273047e-01	   5.6565216e+00	   1.7918420e+02	
   4.4169778e+01	  -4.2126620e+01	   1.7483100e+02	   4.5945345e+00	   4.5178118e-01	   1.6349534e+01	   3.4668282e+01	   4.6786454e-01	   5.1372430e+00	   1.7853590e+02	
   4.4170472e+01	  -4.2129596e+01	   1.7483100e+02	   3.4586546e+00	   3.5825042e-01	   1.6377788e+01	   3.4687130e+01	   4.1282721e-01	   5.1121590e+00	   1.7855104e+02	
   4.4171167e+01	  -4.2132572e+01	   1.7483100e+02	   3.8186205e+00	   4.3206577e-01	   1.6363135e+01	   3.4701568e+01	   3.6685156e-01	   5.2027854e+00	   1.7830480e+02	
   4.4171861e+01	  -4.2135548e+01	   1.7483100e+02	   4.2706914e+00	   4.8179793e-01	   1.6375933e+01	   3.4723449e+01	   3.6070915e-01	   5.5033919e+00	   1.7865804e+02	
   4.4172556e+01	  -4.2138524e+01	   1.7483100e+02	   3.8451568e+00	   3.9702948e-01	   1.6401459e+01	   3.4731166e+01	   3.5328013e-01	   5.0994636e+00	   1.7892541e+02	
   4.4173250e+01	  -4.2141000e+01	   1.7483100e+02	   3.9595417e+00	   4.1887868e-01	   1.6394498e+01	   3.4724506e+01	   3.4000000e-01	   5.0130694e+00	   1.7889998e+02	
