   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   8.1734606e+01	   2.5867604e+01	  -5.9633597e+01	   2.8422745e+00	   2.9801270e-01	   2.4757085e+01	   3.7132940e+01	   7.6400707e+01	   1.2464170e+01	   5.0121556e+01	             NaN	
   8.1748981e+01	   2.5912803e+01	  -5.9576296e+01	   2.6465006e+00	   2.6546544e-01	   2.4827293e+01	   3.7185192e+01	   7.7160559e+01	   1.2597322e+01	   5.1330979e+01	             NaN	
   8.1763333e+01	   2.5957136e+01	  -5.9518864e+01	   2.2777168e+00	   2.3262621e-01	   2.4571949e+01	   3.7111202e+01	   7.6800000e+01	   1.2593906e+01	   4.9900000e+01	             NaN	
   8.1777708e+01	   2.6004804e+01	  -5.9463196e+01	   2.3812117e+00	   2.6513924e-01	   2.4593368e+01	   3.7107854e+01	   7.6987620e+01	   1.2482885e+01	   4.6197957e+01	             NaN	
   8.1792037e+01	   2.6053704e+01	  -5.9410197e+01	   2.5017252e+00	   2.6411251e-01	   2.4493235e+01	   3.7035472e+01	   7.8429599e+01	   1.1423060e+01	   4.5329599e+01	             NaN	
   8.1809722e+01	   2.6110736e+01	  -5.9350264e+01	   2.5058162e+00	   2.8658595e-01	   2.4489792e+01	   3.7079705e+01	   7.8620788e+01	   1.2221517e+01	   4.5337636e+01	             NaN	
   8.1853426e+01	   2.6260603e+01	  -5.9192096e+01	   2.8039840e+00	   2.0447975e-01	   2.4792340e+01	   3.7067500e+01	   8.2490372e+01	   1.2230963e+01	   4.7179503e+01	             NaN	
   8.1867778e+01	   2.6307936e+01	  -5.9137096e+01	   2.5346880e+00	   2.2968528e-01	   2.4826919e+01	   3.7128629e+01	   8.4771113e+01	   1.2004815e+01	   4.8051855e+01	             NaN	
   8.1882083e+01	   2.6356136e+01	  -5.9082296e+01	   2.6884514e+00	   2.6160584e-01	   2.4727801e+01	   3.7213732e+01	   8.1102485e+01	   1.2011855e+01	   4.6708606e+01	             NaN	
   8.1943843e+01	   2.6559002e+01	  -5.8844998e+01	   1.8011349e+00	   1.4054898e-01	   2.4328095e+01	   3.7113046e+01	   7.9448991e+01	   1.1940135e+01	   4.7450561e+01	             NaN	
