   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   1.7738083e+02	   4.0263460e+01	  -6.1205389e+01	   5.7174880e-01	   5.1974613e-02	   2.2500198e+01	   3.4905196e+01	   8.2157592e-01	   6.3398902e+00	   8.7701163e+01	
   1.7738154e+02	   4.0263640e+01	  -6.1200738e+01	   4.9641690e-01	   5.0208240e-02	   2.2509020e+01	   3.4914488e+01	   8.2202891e-01	   6.4241753e+00	   8.7505490e+01	
   1.7738223e+02	   4.0263851e+01	  -6.1196136e+01	   5.3048526e-01	   5.3981046e-02	   2.2515656e+01	   3.4920413e+01	   8.1216282e-01	   6.5810440e+00	   8.8248265e+01	
   1.7738291e+02	   4.0264046e+01	  -6.1191603e+01	   5.5561035e-01	   4.9370247e-02	   2.2520914e+01	   3.4924467e+01	   8.0769580e-01	   6.5329979e+00	   8.9277578e+01	
   1.7738361e+02	   4.0264250e+01	  -6.1187009e+01	   4.2948501e-01	   4.8578550e-02	   2.2524787e+01	   3.4926994e+01	   8.0223000e-01	   6.4372066e+00	   8.8352960e+01	
   1.7738432e+02	   4.0264475e+01	  -6.1182422e+01	   5.4978096e-01	   5.4119476e-02	   2.2528997e+01	   3.4928737e+01	   8.0510216e-01	   6.2600224e+00	   8.7626374e+01	
   1.7738501e+02	   4.0264723e+01	  -6.1177866e+01	   5.0546112e-01	   5.1949774e-02	   2.2532661e+01	   3.4929822e+01	   8.1407747e-01	   6.3670340e+00	   8.7911013e+01	
   1.7738569e+02	   4.0264954e+01	  -6.1173340e+01	   5.1262785e-01	   5.0827814e-02	   2.2537259e+01	   3.4930926e+01	   8.1675000e-01	   6.4855531e+00	   8.8079959e+01	
   1.7738639e+02	   4.0265195e+01	  -6.1168753e+01	   5.7147763e-01	   6.5816474e-02	   2.2542364e+01	   3.4930403e+01	   8.1764694e-01	   6.4629273e+00	   8.7121219e+01	
   1.7738709e+02	   4.0265443e+01	  -6.1164064e+01	   5.1686223e-01	   4.8559399e-02	   2.2546038e+01	   3.4928445e+01	   8.1942267e-01	   6.5539098e+00	   8.8442844e+01	
   1.7738779e+02	   4.0265688e+01	  -6.1159439e+01	   5.5117808e-01	   5.2565393e-02	   2.2548970e+01	   3.4924445e+01	   8.1579253e-01	   6.4755651e+00	   8.8661456e+01	
   1.7738847e+02	   4.0265913e+01	  -6.1154905e+01	   4.7096580e-01	   4.4879383e-02	   2.2551968e+01	   3.4919573e+01	   8.1610908e-01	   6.5320980e+00	   8.6847031e+01	
   1.7738918e+02	   4.0266157e+01	  -6.1150242e+01	   5.7902838e-01	   6.3525714e-02	   2.2553357e+01	   3.4911801e+01	   8.2522000e-01	   6.4219204e+00	   8.7547241e+01	
   1.7738987e+02	   4.0266395e+01	  -6.1145677e+01	   4.8337101e-01	   5.2141926e-02	   2.2551319e+01	   3.4905234e+01	   8.2681551e-01	   6.4657257e+00	   8.7690093e+01	
   1.7739055e+02	   4.0266646e+01	  -6.1141186e+01	   5.1964736e-01	   5.3378515e-02	   2.2546916e+01	   3.4900045e+01	   8.3216682e-01	   6.4327839e+00	   8.8500000e+01	
   1.7739125e+02	   4.0266914e+01	  -6.1136632e+01	   5.5939190e-01	   5.2495308e-02	   2.2540846e+01	   3.4893913e+01	   8.3490000e-01	   6.3976289e+00	   8.8672995e+01	
   1.7739194e+02	   4.0267138e+01	  -6.1132067e+01	   4.6241418e-01	   4.7115079e-02	   2.2532803e+01	   3.4889760e+01	   8.3490000e-01	   6.4620750e+00	   8.9027042e+01	
   1.7739264e+02	   4.0267395e+01	  -6.1127494e+01	   3.9312148e-01	   4.8912729e-02	   2.2523721e+01	   3.4885050e+01	   8.3699287e-01	   6.4598323e+00	   8.8327036e+01	
   1.7739333e+02	   4.0267671e+01	  -6.1122960e+01	   4.7337265e-01	   5.3845587e-02	   2.2516200e+01	   3.4876968e+01	   8.4337000e-01	   6.3825559e+00	   8.7281253e+01	
   1.7739403e+02	   4.0267995e+01	  -6.1118450e+01	   4.1767798e-01	   4.7944265e-02	   2.2507032e+01	   3.4869038e+01	   8.4337000e-01	   6.3858325e+00	   8.6095402e+01	
   1.7739472e+02	   4.0268321e+01	  -6.1113898e+01	   5.1294165e-01	   5.1114159e-02	   2.2493462e+01	   3.4855320e+01	   8.4426672e-01	   6.4982038e+00	   8.7151781e+01	
   1.7739543e+02	   4.0268664e+01	  -6.1109242e+01	   4.0036477e-01	   4.8517512e-02	   2.2473316e+01	   3.4840582e+01	   8.4763830e-01	   6.4472374e+00	   8.7069264e+01	
